TEDIS PHARMA CI;;;STATISTIQUES LABORATOIRE ECLATEES PAR CLIENT
Votre partenaire Santé;;;INOX PHARMA - CROIENT PHARMA

CIP;Désignation du produit;Client;Mai-26;Avr.-26;Mar.-26;Fév.-26;Jan.-26;Déc.-25
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;AKANDJE;0;0;0;1;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;AKRE ALBERT;0;2;0;0;2;2
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;BARAKA;0;0;0;0;1;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;BELLE VILLE JEAN FOLLY SARLU;2;1;0;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;CARREFOUR DIALLO;2;1;0;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;CENTRALE -OUME;0;0;0;1;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;CHATELET;0;0;2;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;COEURS UNIS DE DIGNAGO;5;1;0;0;0;2
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;D ADZOPE;0;0;0;0;2;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE BANGOLO;0;1;2;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA GARE DUEKOUE;5;0;0;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA MAIRIE ABOBO;0;0;0;0;1;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA MAIRIE DE YOPOUGON;0;0;0;0;1;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA MOSQUEE YAMOUSSOUKRO;0;0;0;1;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA PAIX DE DAOUKRO;0;0;2;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA PAIX DE DUEKOUE;0;10;26;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA RIVE GAUCHE;7;0;8;3;4;8
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE LA RIVIERA;1;0;0;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DE WILLIAMSVILLE SARL;0;0;1;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DES FINANCES;0;0;0;0;0;1
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DIOULABOUGOU SANTE SARLU;0;0;1;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DIVIN-AMOUR DE N'ZIKRO;1;3;2;0;0;2
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DIVINE MISERICORDE;1;1;4;0;1;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DU CENACLE;0;0;1;0;0;0
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DU COMMERCE MAN;0;10;0;0;0;10
3000000638392;ACICROF-P 100MG/500MG CPR PELL B/10;DU LAC SARL U;0;0;0;1;0;0
